stock,open,low,high,close
stockP,42119.17,41930.52,44538.71,43716.95
stockL,49272.58,41689.86,49806.03,48803.56
stockU,41846.93,40743.32,57693.48,49997.80
stockJ,37443.12,25611.97,38279.94,29606.55
stockE,36386.03,21769.52,40368.18,26915.82
stockU,13317.25,13084.83,42537.45,31068.69
stockZ,38358.49,34784.94,38497.98,37271.32
stockV,27718.28,20290.98,35403.93,23675.05
stockA,38836.35,35632.01,39380.56,37688.74
stockJ,35564.75,15280.88,39553.75,23558.15
stockD,62477.53,44093.10,65412.34,64595.74
stockC,46218.38,25555.08,46432.30,44527.79
stockD,48321.85,44868.39,54813.71,49123.24
stockD,32419.11,24374.24,41579.63,40251.53
stockP,39955.35,37753.30,44709.58,39944.34
stockX,42622.28,40729.90,43860.94,40979.63
stockY,20406.21,16225.10,26558.00,21620.36
stockW,48868.05,27474.79,51043.13,32126.85
stockZ,48148.31,37539.27,54348.33,39554.49
stockC,33920.76,31954.72,38250.46,33518.80
stockF,60522.85,54783.07,61758.79,60924.59
stockZ,48645.71,44138.82,49793.98,47480.76
stockM,39153.51,38547.48,41436.02,40171.04
stockO,46763.12,39716.01,46953.27,46776.74
stockJ,46581.30,42659.52,47386.16,43304.41
stockO,50483.82,45884.96,51011.91,47853.25
stockF,51483.65,37152.77,53074.14,51678.41
stockO,33155.61,26577.89,36370.82,36111.54
stockH,45210.83,44148.15,46879.08,45893.14
stockU,37423.68,28675.24,38400.18,32916.83
stockJ,24103.54,21085.76,26839.20,23540.91
stockC,51259.64,35963.68,56018.23,37054.00
stockV,48096.67,44132.34,56060.24,48490.56
stockQ,38935.60,37136.96,42102.24,39090.92
stockN,32099.46,27902.06,34533.33,31601.65
stockB,46324.89,20892.79,50093.84,23070.45
stockP,33524.84,17147.07,57216.76,54207.65
stockY,47385.58,37672.75,63501.88,57705.06
stockB,39404.42,35419.69,41812.96,38379.76
stockN,41816.45,37234.93,47086.53,42447.81
stockN,40866.87,40354.58,51197.63,47526.03
stockW,45120.02,44904.94,46057.87,45104.34
stockT,45889.34,45872.28,46918.19,46542.57
stockR,43377.05,42683.22,45056.23,43018.43
stockF,32113.04,24967.78,63679.15,62916.01
stockO,35603.31,29436.97,39147.93,30876.27
stockV,47146.07,13491.75,54591.31,48461.37
stockG,40163.87,38000.47,46318.34,40818.30
stockK,28053.37,24941.24,34546.61,28537.11
stockR,32680.85,30364.15,35638.74,32218.06
stockD,47624.37,37833.40,48785.00,44470.30
stockL,31074.20,28270.97,40156.21,33569.94
stockI,58529.47,53364.74,62484.59,57031.51
stockM,45610.86,39455.69,50995.57,41314.16
stockL,46693.97,35068.01,50743.05,43864.01
stockO,10491.40,5253.35,19429.76,14811.72
stockG,30622.17,9880.29,35895.85,19201.14
stockF,33151.62,31478.12,33177.29,32593.21
stockV,41373.39,33696.52,44433.50,37493.94
stockI,38481.58,33964.11,53770.75,44283.61
stockL,43845.84,13404.88,53331.43,24060.01
stockG,47309.30,42958.85,64012.19,44952.86
stockI,43082.24,42882.74,43544.56,42906.27
stockP,44016.52,37815.06,44378.30,41697.93
stockA,43649.61,29348.04,45794.68,36035.16
stockS,53055.98,34301.16,55090.74,37259.16
stockZ,50892.08,25018.46,53199.71,48880.64
stockK,31045.23,20421.90,36793.41,32407.06
stockF,38559.21,37805.98,41462.67,38034.08
stockH,34203.09,28913.80,38208.06,36235.87
stockE,33769.63,31151.68,45641.95,45180.36
stockY,57178.26,27117.12,58694.16,28585.08
stockX,34047.41,33629.49,39520.94,36511.66
stockC,44695.03,25834.40,53780.57,42610.18
stockC,36191.59,31898.32,48695.40,39769.03
stockX,33869.31,24217.31,34171.29,33922.53
stockF,45331.07,31043.85,60864.23,38158.46
stockF,27246.28,23948.75,50771.25,38796.20
stockL,52638.74,52287.92,53193.75,52348.62
stockL,49683.70,46804.64,53827.14,50471.23
stockP,24383.35,18687.56,25938.44,19361.23
stockB,37568.27,32910.83,46985.28,33938.07
stockX,33001.26,32561.73,45986.30,38810.40
stockZ,31032.21,30989.73,31047.67,31013.66
stockK,47902.70,38946.23,63495.10,52201.40
stockV,18602.60,15596.12,29133.24,19515.14
stockA,43254.07,39820.79,44900.30,44218.68
stockX,51828.96,43279.67,57847.05,53007.86
stockS,19622.20,19022.42,32020.81,26683.03
stockN,46148.10,36699.85,51313.48,47092.93
stockT,67498.74,33737.95,71011.24,46713.57
stockX,41219.50,40950.00,42513.28,41283.73
stockY,48441.94,39536.26,56394.26,55236.83
stockI,31176.50,11363.70,65316.28,28143.31
stockH,31223.83,12960.11,32999.76,27589.09
stockQ,40610.05,33705.59,61613.48,37762.96
stockR,36785.48,34940.27,39748.88,35351.01
stockK,53524.35,52900.84,59076.68,56227.35
stockA,53331.80,41365.25,56877.88,53384.86
stockI,44337.02,39219.86,50358.99,49746.69
stockS,24052.27,17623.73,32473.64,20995.33
stockM,41650.59,38961.97,41832.52,41479.85
stockM,41842.98,36463.95,50975.02,46654.01
stockB,50496.63,50358.99,50705.86,50538.44
stockH,38886.43,36936.08,54826.80,51446.36
stockN,34664.79,33544.54,35397.27,33961.07
stockW,32842.34,26910.97,44550.33,41858.83
stockX,46376.59,46047.35,47275.94,47156.59
stockZ,56435.49,32148.22,61334.72,59035.37
stockG,34560.90,31789.37,41349.20,37836.36
stockC,43747.69,39951.27,60183.88,53456.10
stockU,40772.78,37848.69,41410.39,40315.61
stockU,53384.33,24056.70,61886.19,59244.17
stockE,17768.60,17670.67,18334.42,18003.87
stockR,25875.09,22340.79,31535.49,29680.56
stockG,58177.20,49790.11,58917.88,50865.25
stockD,28282.38,19751.84,36939.05,24133.26
stockF,39767.99,39646.44,40107.73,39658.74
stockK,49567.41,37142.91,54259.87,46857.49
stockT,40465.60,36611.64,49169.93,39969.69
stockO,32434.73,29920.76,35330.60,34548.38
stockD,36161.24,35104.93,36400.21,35751.99
stockF,43284.17,33673.95,47659.56,38427.62
stockX,47225.72,45497.51,50803.17,48106.24
stockJ,45338.25,32710.97,56703.37,49496.75
stockO,35200.69,21842.00,48250.17,32424.49
stockM,10032.37,1479.56,14330.13,7661.23
stockQ,29419.51,28154.87,29893.88,28899.71
stockD,41143.75,39126.14,54167.61,47573.73
stockR,55990.69,52584.58,57545.43,55479.76
stockO,44542.09,42797.62,49358.59,49172.80
stockG,46141.64,33619.12,54801.30,46229.74
stockC,22586.22,22290.14,58581.45,24287.19
stockH,34349.81,34169.29,47233.21,40211.80
stockB,43148.53,36449.14,49609.46,46791.53
stockY,20485.43,15974.82,35467.34,28446.89
stockF,33800.32,26386.00,58626.42,36471.07
stockL,18955.28,16278.86,26104.14,25724.93
stockZ,45024.63,37520.34,47344.05,43195.44
stockP,55062.92,19969.98,56614.10,50035.88
stockT,23240.69,20080.01,24162.01,20240.28
stockH,28532.27,28150.68,28576.09,28193.77
stockU,21369.13,21291.38,22886.65,22076.07
stockB,30805.90,30502.32,31179.60,31162.64
stockM,42763.98,40996.20,43090.57,41286.41
stockB,49275.39,49246.67,53354.20,52517.47
stockT,40333.65,28360.42,45562.23,42212.14
stockW,50818.43,48211.47,62135.75,51684.08
stockY,30423.08,30397.79,40531.78,38137.52
stockV,30554.24,22091.57,34944.76,27020.28
stockV,27667.71,21029.07,32757.81,28184.82
stockB,38758.01,30123.73,40681.85,38501.34
stockN,42901.20,31585.22,44873.43,31748.25
stockQ,56225.16,34706.26,74480.08,39975.59
stockY,30827.69,30770.12,30919.38,30837.59
stockC,56230.73,10879.29,57313.86,54496.62
stockT,47585.10,46530.93,47612.36,46576.68
stockP,33557.83,21959.54,52334.55,31625.57
stockZ,35110.32,28897.16,37434.71,36658.44
stockO,37514.15,19829.21,43988.85,39392.97
stockW,42734.15,24217.05,56213.70,51344.51
stockP,44858.40,38020.25,48083.73,40688.88
stockK,27907.00,25920.60,30059.20,28206.75
stockS,41150.50,37393.56,48517.78,41596.97
stockD,46836.60,40784.20,53113.83,44538.16
stockU,43787.80,43122.85,47985.82,43524.51
stockN,6030.46,5627.84,45439.80,42743.35
stockE,42268.00,22513.67,57556.10,54154.75
stockJ,27542.69,23932.50,35743.86,27129.06
stockJ,43788.13,43723.34,43849.53,43740.97
stockG,25831.00,23166.67,41133.28,39911.38
stockI,53477.50,15170.98,54228.90,38279.00
stockH,34509.21,32659.75,48077.76,33715.13
stockJ,45252.45,43299.08,56740.50,52198.46
stockU,32331.80,23337.90,47292.14,46663.49
stockM,40107.43,32383.70,40272.77,34971.83
stockW,53023.35,43815.41,58125.42,47523.76
stockT,34544.29,33647.11,39956.61,36857.81
stockO,38932.04,38406.64,43037.41,41870.84
stockP,39186.28,29434.36,39983.33,34243.01
stockA,28623.73,27406.77,43108.25,31667.20
stockX,24295.67,23957.34,40112.73,35676.60
stockL,22427.60,13464.96,36538.10,29531.66
stockR,70862.77,52909.34,77018.49,73362.15
stockB,41748.61,41733.56,41768.17,41756.76
stockI,37930.48,25462.70,41814.17,32802.07
stockD,41938.73,38970.44,42224.22,40468.89
stockA,35097.50,34105.89,36719.49,36169.60
stockI,46651.66,22206.54,48318.88,33002.14
stockZ,20451.82,17327.23,31416.26,22034.29
stockW,34699.30,32442.80,49936.85,39378.24
stockN,52385.72,39199.81,63199.18,44785.07
stockJ,32721.05,29993.36,39615.41,30093.09
stockH,31592.13,30420.05,32277.32,30859.86
stockA,33451.94,30674.91,58714.13,38773.50
stockC,48993.23,46445.80,50173.24,49460.22
stockH,48194.18,43542.49,49121.39,44631.20
stockT,34923.44,29700.43,47995.92,32600.90
stockE,64296.10,33604.67,66967.14,53450.19
stockQ,30573.50,22860.15,40804.19,37626.19
stockE,22205.95,17983.15,36161.86,22389.20
stockV,30101.43,27646.95,34658.18,30678.84
stockI,32238.68,17158.87,39081.30,23353.14
stockX,42609.62,37682.18,43483.36,40870.15
stockA,37573.45,33864.47,37664.63,34681.35
stockA,43426.86,34361.61,45462.52,34988.84
stockY,41909.67,23519.99,45591.88,31129.09
stockU,22872.98,20758.74,44093.83,33960.61
stockK,39403.73,30773.52,44651.91,35055.16
stockY,43592.42,39222.21,53210.01,45463.14
stockH,37218.97,33028.38,37494.43,35819.52
stockS,25152.81,19156.44,26106.87,22685.76
stockS,22682.99,18183.32,28951.26,19563.31
stockM,45527.08,44783.13,47417.13,46825.94
stockD,39444.39,34380.12,48934.61,45812.34
stockJ,22753.11,21354.15,28774.19,28574.42
stockJ,45644.99,26672.83,48123.10,29551.09
stockU,16851.99,16590.86,40723.98,24066.47
stockJ,53617.01,21069.60,77324.15,37340.25
stockQ,40186.07,39223.75,44152.92,43764.72
stockV,32317.08,31174.08,41956.78,31245.04
stockW,35339.45,35336.01,36880.33,35560.97
stockS,42967.41,35283.35,50773.53,43939.02
stockC,29529.23,29124.65,29989.48,29266.15
stockO,35989.14,33795.36,37733.01,37250.08
stockQ,53986.29,44814.92,57480.80,56530.14
stockR,35175.34,35017.61,36321.84,35648.07
stockO,41649.17,36811.40,44539.01,38794.26
stockN,41606.64,36701.19,47634.89,38251.87
stockY,20224.15,19675.96,39392.75,35656.45
stockL,35086.96,34849.86,39902.50,39837.99
stockU,30465.96,30120.05,31032.19,30626.60
stockW,43453.98,37822.48,45697.77,44991.25
stockX,33466.96,25562.47,37230.82,33110.72
stockY,39188.47,36432.28,41929.06,41813.87
stockU,39784.51,39473.44,47019.02,44420.29
stockA,49930.60,41107.53,52777.13,47883.06
stockC,53789.16,48595.89,57331.81,51254.93
stockT,19748.99,16282.33,26095.47,20474.13
stockA,29275.60,14581.27,32009.65,19586.30
stockX,39893.37,35947.58,41773.66,37487.24
stockI,44403.85,43305.97,46125.34,44468.79
stockI,52128.13,39898.34,52830.33,40300.30
stockG,27255.93,26647.59,45687.64,40695.60
stockP,44773.63,24484.55,47854.48,28556.76
stockP,35037.61,34712.87,39479.22,37724.73
stockN,29164.56,28090.62,35309.27,28994.57
stockX,22401.20,18273.13,27251.20,24283.87
stockZ,30671.82,30588.56,31078.79,31067.63
stockJ,28113.77,23345.57,46873.57,27791.15
stockT,39222.16,38958.62,46321.86,43255.42
stockZ,46442.28,37829.16,54140.88,43122.01
stockC,39016.39,33219.54,39918.89,38556.49
stockU,38365.42,37628.75,40628.85,38383.01
stockH,56676.25,50976.44,60466.90,58106.94
stockX,36905.96,36525.87,38757.75,37538.00
stockK,30323.48,19882.23,33888.17,31890.92
stockI,39216.26,38834.25,39269.94,38881.29
stockR,45422.10,44515.96,46887.44,45508.33
stockV,42090.87,37206.21,56203.36,51395.14
stockM,32514.62,25888.74,39406.84,30717.33
stockE,26506.15,25504.01,27641.69,27089.39
stockN,21342.30,12177.00,27603.98,26642.88
stockH,37960.86,36844.52,43629.90,42769.84
stockP,51412.81,50673.03,58654.65,57431.64
stockP,46372.94,39786.45,55911.63,55113.05
stockT,33260.60,20608.73,39731.52,26165.34
stockA,29896.46,19189.16,42131.88,27012.45
stockZ,58288.39,56019.73,62354.81,58315.65
stockR,15869.02,10187.27,45794.35,35345.52
stockM,54853.85,34498.51,54998.28,54715.63
stockJ,31249.22,29403.62,36172.13,33902.19
stockL,23497.08,23213.79,24262.91,23849.20
stockB,33737.92,20707.94,41365.99,31692.03
stockK,49517.19,49093.57,49692.96,49623.19
stockQ,43155.00,30659.25,45425.19,33377.79
stockL,25560.42,25313.32,37130.54,29764.35
stockH,39819.98,28175.02,40018.10,33466.00
stockD,53843.18,53033.04,54931.35,53908.40
stockZ,57921.85,43447.37,60365.17,55778.08
stockG,48907.70,38585.30,51879.65,39538.90
stockQ,38581.80,38486.69,39293.36,39139.83
stockW,23681.25,17630.53,32299.23,22220.82
stockG,43341.06,40507.49,56715.77,45088.38
stockO,21522.58,21194.11,21678.20,21466.96
stockO,36240.62,35494.35,54708.59,39858.73
stockI,42847.30,42369.17,43187.17,42961.90
stockB,46973.40,44835.55,51981.96,47314.87
stockD,34354.43,33048.37,58597.59,54958.78
stockI,44504.94,42660.63,45939.05,44064.19
stockL,53947.87,42484.92,55697.80,44804.66
stockP,43243.83,42660.09,44524.58,43391.83
stockX,38111.05,36528.16,40763.57,37050.60
stockK,40906.00,40831.73,40923.44,40920.27
stockO,40005.25,26219.87,43368.48,31806.94
stockU,44980.37,44342.05,47429.91,45540.66
stockZ,38589.23,38124.63,43831.54,40863.96
stockJ,40817.98,40122.77,41179.92,41098.30
stockC,32072.01,32068.94,32254.36,32198.80
stockB,46014.62,45092.58,51096.83,48902.22
stockX,51106.40,43030.33,51536.39,45893.57
stockA,20792.43,20712.87,21000.23,20814.09
stockD,48495.68,41838.92,48758.34,48331.13
stockS,41004.69,37889.78,44438.58,42240.20
stockY,16401.93,7632.86,55257.43,43728.67
stockX,34379.08,34167.76,34600.46,34560.91
stockT,35458.84,32078.59,41463.54,37661.98
stockD,35550.74,30283.37,57276.71,34983.74
stockC,42600.91,36382.09,44857.06,42299.74
stockM,41271.47,39366.95,42084.24,41913.38
stockE,59093.95,55179.54,63580.60,57969.48
stockA,39769.58,32982.00,45965.52,43733.18
stockZ,34923.44,33020.27,38728.73,35974.18
stockD,36939.04,32543.60,37601.68,37228.00
stockX,36231.83,35109.27,59781.97,54666.37
stockB,29442.09,25449.86,34409.75,32312.52
stockA,36443.21,35767.42,39094.33,36561.55
stockW,26539.42,10263.47,35873.73,12207.03
stockD,45670.37,30157.18,54326.03,44570.46
stockE,43264.16,24119.50,48226.19,46592.15
stockB,12521.17,5603.28,47381.92,32974.47
stockK,46771.37,46385.64,51028.69,48710.99
stockU,40506.10,30008.28,50555.14,30405.78
stockA,21432.76,18465.21,55320.98,34905.39
stockD,50453.37,42493.91,52716.67,49521.58
stockT,41305.08,22958.19,41717.79,30070.82
stockK,19059.79,18933.77,32646.59,28420.36
stockR,60260.22,57029.08,66173.08,60943.41
stockS,21080.19,20750.90,43440.89,26684.69
stockQ,42432.24,30398.12,48492.60,44419.29
stockU,16190.21,15944.65,27287.81,20854.54
stockW,46252.82,44210.99,51763.61,46473.57
stockC,44886.15,40630.02,55534.80,42097.50
stockC,38860.75,37023.82,43808.71,42764.95
stockB,23868.54,19207.75,31639.04,23902.99
stockS,37702.32,33983.43,38815.68,35398.35
stockG,33296.65,32972.82,35653.50,34188.35
stockS,46030.16,43418.55,60842.22,50912.39
stockU,27240.93,25684.66,29605.00,28126.74
stockB,29359.54,26112.08,29471.18,27509.30
stockK,45929.99,44658.02,51128.53,49296.04
stockO,50925.90,50161.30,53116.91,50516.81
stockK,43273.57,39167.68,43421.50,39396.68
stockI,38908.02,24471.80,38957.88,28897.88
stockC,25296.21,21744.37,27528.63,26383.04
stockQ,16550.20,15883.76,16655.88,15955.71
stockB,36980.10,36218.74,46731.07,37388.46
stockH,38179.56,36787.45,38984.36,38362.31
stockL,18902.33,18532.79,30497.01,29477.36
stockW,51369.81,35553.96,52814.14,41330.36
stockG,38641.22,35616.96,57751.83,48991.95
stockW,54326.05,41450.76,58406.77,55062.93
stockU,37920.16,30802.31,38491.88,33801.08
stockR,35506.25,35412.82,35519.30,35480.40
stockC,39891.24,28297.25,52616.85,40628.30
stockR,25004.50,23159.60,30670.23,25176.11
stockK,43299.43,41314.85,49182.81,46051.54
stockP,28537.72,26289.58,31964.35,26874.76
stockP,41387.75,35213.23,42274.13,38618.09
stockO,23036.44,22392.21,47050.12,44180.92
stockP,40754.47,23369.79,48193.71,41067.20
stockE,50588.49,43177.74,53170.52,45102.45
stockX,38831.02,32826.96,40794.19,36720.20
stockN,34594.92,26791.03,37408.84,35604.02
stockG,31121.25,28542.49,33086.92,30734.09
stockG,35927.97,32523.71,39622.39,38221.13
stockI,52839.95,52316.93,56829.39,55294.78
stockL,43418.57,38784.87,46622.98,43268.52
stockQ,35768.06,29940.77,41463.37,37648.92
stockJ,43786.51,43203.17,44466.20,44360.23
stockN,44550.66,42223.34,56922.12,56163.49
stockD,30095.55,17898.28,34240.95,28051.41
stockP,41939.56,37395.78,44675.93,39478.66
stockR,41606.63,33583.60,45197.09,44654.59
stockM,39643.56,39510.69,40509.42,40377.80
stockC,26748.05,14899.81,34704.14,20376.74
stockS,25379.08,15430.64,38943.44,27237.35
stockG,41153.40,36085.08,41755.70,36856.23
stockB,46523.56,24050.87,46854.98,40608.69
stockS,37363.77,36771.45,37662.70,37147.03
stockB,33768.19,24864.99,34666.00,26739.02
stockS,45087.15,41822.70,45110.30,45109.07
stockW,54485.59,41298.22,56864.68,48428.12
stockT,34587.65,34368.92,35394.87,34849.26
stockD,29234.02,29061.30,36180.61,29418.08
stockK,42189.16,34770.80,50709.89,49919.86
stockA,33589.55,19852.31,39096.08,26714.66
stockT,41698.98,36419.68,46265.93,44784.21
stockS,30706.67,27684.64,32630.01,30429.92
stockC,33396.83,31502.63,37903.12,32977.45
stockB,36362.93,30126.81,37338.75,36303.72
stockK,37743.93,35788.76,42805.52,41519.02
stockV,29417.48,28792.56,32936.49,31180.31
stockP,41493.06,37378.60,45096.08,43353.24
stockG,38409.35,31895.39,46556.71,46367.07
stockB,39030.81,38812.78,39083.54,38923.19
stockD,27106.11,15454.00,32202.22,20914.46
stockI,55218.32,53495.74,55349.17,54077.03
stockO,37361.73,37134.48,37961.35,37543.43
stockK,48267.37,40673.45,52980.47,47388.88
stockZ,30653.15,30056.16,32073.96,30599.06
stockU,40518.22,40232.38,40967.59,40489.47
stockS,33593.90,30389.92,53803.66,32813.95
stockF,52557.53,52138.04,53060.46,53049.18
stockF,47304.15,47167.35,48192.93,47341.02
stockJ,26501.19,15862.62,35600.44,19183.53
stockP,27561.59,14644.57,60763.66,20587.23
stockI,25057.58,22123.61,32351.08,28067.80
stockZ,22895.09,14359.53,38832.68,38351.96
stockD,37554.65,27866.49,37629.61,28554.20
stockC,49583.07,31843.85,50583.35,50540.35
stockO,49419.83,44220.13,57857.75,52381.05
stockR,35901.19,33629.12,37910.50,34244.99
stockT,49530.54,43120.35,53385.36,43273.18
stockE,23320.13,13119.26,34417.82,31758.31
stockA,38202.44,33431.22,58500.55,54710.76
stockT,34100.09,25950.57,37393.16,29880.40
stockP,34778.46,33541.06,40291.53,35219.32
stockY,48873.24,33768.73,55206.34,35913.06
stockA,32583.77,32423.03,37952.25,34170.40
stockH,45084.80,37035.46,49505.98,46648.71
stockV,46345.51,38194.89,46538.01,44495.09
stockN,45270.75,26383.49,50931.99,37942.01
stockK,55845.42,53144.15,57035.68,55632.49
stockB,34302.83,22791.03,41814.75,25024.53
stockU,44041.65,44022.14,44552.91,44531.09
stockS,53401.50,52032.87,55993.74,54037.06
stockL,33098.82,32060.53,33294.85,33250.06
stockF,32031.28,31359.67,37651.21,36379.33
stockA,32329.96,31691.35,32426.03,31823.00
stockU,24393.69,17730.38,46221.22,28403.48
stockT,33893.76,33770.17,34779.89,34697.53
stockT,30605.05,15699.05,34320.01,20659.15
stockF,21066.09,19408.83,21171.26,20608.13
stockS,39177.72,27088.60,54408.13,47952.65
stockT,47187.72,36588.59,50325.68,38035.04
stockV,40745.15,38520.86,48856.22,39029.31
stockA,36276.75,30440.63,39765.25,32642.37
stockS,44248.85,40154.12,49434.76,46794.93
stockX,54451.81,46401.92,58814.26,56335.10
stockI,41990.87,40467.37,42542.98,41023.96
stockG,20141.87,17151.44,26379.81,18028.97
stockF,63713.71,35637.66,66343.75,64704.45
stockA,40481.68,38235.26,49751.44,41899.22
stockU,47535.19,46246.69,52428.56,50665.99
stockU,48824.76,40016.97,49014.95,47658.62
stockY,44744.46,41521.69,45923.75,44778.16
stockC,54020.00,42679.98,57494.18,50541.15
stockK,25901.67,23400.92,28580.61,27100.93
stockB,35437.72,33088.13,40917.84,38454.14
stockJ,30230.86,29723.06,48189.16,42916.39
stockF,34614.45,25380.18,53765.55,43182.07
stockO,29318.25,18601.61,43506.25,40708.37
stockW,40784.46,37015.48,45316.40,40786.46
stockI,56319.37,44500.84,58824.18,52567.30
stockZ,52936.53,52814.53,54489.52,54088.66
stockM,53112.02,38904.16,60133.78,50591.39
stockQ,41534.74,33257.82,49791.69,34645.56
