stock,open,low,high,close,timestamp
stockI,26777.33,20384.64,33268.06,26295.68,00:11:33.431
stockL,42411.95,34888.84,48624.70,38879.52,00:11:36.464
stockD,40639.35,13673.24,41623.12,40875.11,00:11:37.557
stockH,31365.41,27742.28,33070.45,30473.61,00:11:46.827
stockZ,41672.95,36405.22,46595.53,41907.44,00:11:48.925
stockJ,45319.04,44490.70,45974.79,44694.25,00:11:58.693
stockC,54716.86,41981.73,61170.30,58723.04,00:13:01.491
stockY,21250.51,20996.81,21528.73,21280.38,00:13:28.011
stockV,33075.08,27309.31,51597.07,42051.85,00:13:50.907
stockI,26148.63,22524.55,36910.67,28918.17,00:14:09.156
stockW,39704.40,32246.50,45553.79,40926.74,00:14:17.979
stockG,36869.26,34876.70,40749.28,34956.43,00:14:18.899
stockY,27643.15,21906.55,35519.14,30005.30,00:14:20.931
stockZ,33974.72,25824.79,41061.65,32767.52,00:14:30.444
stockJ,36010.89,29203.21,48838.15,33420.24,00:14:36.976
stockZ,46533.05,46173.52,63900.28,53568.33,00:14:50.597
stockH,45078.43,44334.45,46130.59,44948.41,00:15:05.497
stockC,21686.37,16292.03,22621.05,19993.87,00:15:06.427
stockU,36917.68,25509.30,49260.29,27475.52,00:15:19.715
stockK,56958.49,52296.21,57156.61,56423.50,00:15:22.982
stockB,35742.79,35336.26,37465.94,36178.36,00:15:26.452
stockE,33108.56,27528.78,35194.31,34601.29,00:15:28.750
stockC,27414.73,26870.16,27534.11,27410.20,00:15:33.129
stockS,42832.06,42051.09,43166.46,42297.82,00:15:48.072
stockV,32362.70,28409.66,32531.15,29517.29,00:15:48.341
stockX,50562.54,32497.94,56992.88,55342.32,00:15:50.035
stockL,29290.87,26484.99,41535.18,27292.08,00:15:52.463
stockB,51168.55,37102.81,55138.11,47900.88,00:15:54.204
stockX,38856.16,36465.95,45716.18,39272.92,00:16:02.042
stockF,37751.50,30041.54,47828.39,45127.25,00:16:07.973
stockX,24164.73,23651.59,25760.53,25629.64,00:16:14.216
stockN,51684.35,39123.80,56167.79,42601.89,00:16:22.002
stockN,45614.00,39171.74,50328.70,49468.07,00:16:22.360
stockY,32157.80,12999.03,38454.80,15991.75,00:16:31.700
stockN,21323.23,20023.80,38719.97,20388.28,00:16:41.217
stockA,15963.21,15080.30,33810.25,27187.75,00:16:44.182
stockD,33975.69,33489.54,46041.50,36650.05,00:16:49.513
stockB,47076.70,44970.01,47682.31,45603.72,00:16:50.770
stockF,38259.41,21412.28,41103.74,23024.52,00:16:57.541
stockQ,47692.10,47524.50,49748.88,48375.39,00:16:59.768
stockS,33246.02,29611.40,37051.71,36072.43,00:17:32.219
stockM,21034.34,17109.73,32225.18,25280.01,00:17:44.505
stockU,37311.83,27685.88,63312.24,41508.20,00:17:55.360
stockP,30738.73,28399.34,52259.60,52023.79,00:18:05.958
stockO,43484.44,43436.84,45671.38,45378.34,00:18:10.810
stockP,42947.23,41470.37,43939.54,42966.76,00:18:13.337
stockU,30595.59,21780.37,36924.07,24627.73,00:18:21.414
stockR,36480.34,34305.37,37038.84,34951.79,00:18:33.148
stockE,25534.34,24941.76,31971.99,31433.46,00:18:45.480
stockN,40680.12,36322.29,50145.26,43669.62,00:18:46.667
stockT,34578.40,31625.80,34916.83,32109.22,00:18:48.685
stockC,34511.00,31471.08,38010.67,35379.54,00:18:52.810
stockU,39253.31,37557.75,40124.17,38722.95,00:18:54.900
stockZ,25833.35,24407.09,43059.05,37831.52,00:18:59.505
stockX,34432.84,33090.13,35584.33,34235.58,00:19:05.799
stockE,40283.31,35091.07,44808.96,40076.72,00:19:13.381
stockS,40158.20,27808.76,56791.81,54602.16,00:19:20.664
stockA,45548.33,33343.87,46684.52,38455.01,00:19:24.472
stockK,44314.78,24135.69,47018.27,41501.68,00:19:34.626
stockZ,34954.40,31541.10,56601.31,39918.61,00:19:51.369
stockA,30772.45,14223.50,47755.68,33878.02,00:19:55.795
stockL,50287.02,46133.14,52168.51,51399.22,00:20:00.823
stockR,43807.23,38685.11,54998.70,46169.77,00:20:04.829
stockC,34915.43,28298.36,40863.88,37107.18,00:20:08.125
stockM,38625.70,38546.33,45603.71,39527.61,00:20:20.242
stockY,45452.34,30984.82,47094.39,33593.41,00:20:28.355
stockL,37931.46,18708.62,48070.91,37198.90,00:20:28.496
stockZ,26199.38,17901.24,39068.22,38284.24,00:20:28.948
stockF,50570.76,39084.61,55940.57,48415.70,00:20:29.656
stockE,46177.56,43215.15,47490.59,45769.33,00:20:36.825
stockY,44954.91,37189.12,47100.14,43704.67,00:20:39.456
stockR,41675.41,41636.77,41712.75,41672.41,00:20:50.808
stockU,29327.65,24096.89,32079.71,27175.63,00:20:52.148
stockA,38711.96,36127.12,42319.57,38857.20,00:21:01.684
stockV,41696.88,39977.74,42338.71,40663.24,00:21:10.571
stockG,32973.75,29656.49,34401.59,32996.16,00:21:30.473
stockW,44737.23,43527.28,45964.98,44234.03,00:21:30.683
stockP,29687.72,19608.11,45412.39,33164.53,00:21:38.409
stockN,34588.47,32023.40,36520.69,34027.72,00:21:42.641
stockN,32104.11,31485.81,33294.54,33188.41,00:21:47.750
stockR,32428.16,24698.68,34290.62,26442.87,00:21:56.920
stockY,40012.32,36526.77,41498.30,39319.10,00:21:59.111
stockV,44328.81,37603.48,51425.35,44360.15,00:21:59.251
stockL,61929.82,45721.87,61947.61,51493.26,00:22:23.959
stockW,23142.28,19041.56,35808.68,20762.88,00:22:32.420
stockF,38345.22,37493.01,60867.44,53304.80,00:22:34.155
stockC,22857.13,22047.48,25023.18,23472.60,00:22:45.269
stockD,33948.61,25884.06,36214.51,29355.40,00:23:06.966
stockX,38514.70,37381.06,38920.50,37647.78,00:23:09.798
stockZ,41287.59,18786.58,42673.68,29313.56,00:23:13.106
stockG,28357.24,23417.45,30161.70,27343.66,00:23:57.578
stockN,50370.76,39695.64,54778.82,42357.65,00:23:58.407
stockT,23904.82,15633.84,34807.85,19256.99,00:24:06.375
stockT,44005.44,37124.99,46349.15,38921.46,00:24:13.766
stockS,25608.71,22800.62,30298.66,29181.06,00:24:15.232
stockM,23276.90,17152.49,33065.23,22896.65,00:24:28.572
stockY,39168.31,6430.30,43258.44,25407.46,00:24:29.883
stockU,29444.44,22457.64,38832.41,35651.30,00:24:32.566
stockY,38786.08,30096.89,40147.34,31176.80,00:24:32.848
stockB,31026.17,29661.25,50215.82,36140.03,00:24:34.258
stockM,29991.82,28134.71,42195.86,37909.75,00:25:00.065
stockE,31015.96,29921.87,35654.35,31349.71,00:25:05.236
stockD,54866.00,51868.90,55739.24,53032.31,00:25:09.572
stockH,24141.16,22462.40,32008.58,31612.98,00:25:14.781
stockH,47560.95,46114.91,49730.59,49360.73,00:25:19.694
stockL,36116.82,34325.57,38174.86,36105.01,00:25:21.114
stockS,43883.42,43450.15,49037.21,48429.97,00:25:27.061
stockP,33291.49,32714.86,38066.00,37779.15,00:25:42.819
stockG,31386.14,27986.28,35290.74,33279.74,00:25:53.574
stockW,30210.79,23351.53,61421.81,45614.09,00:25:55.016
stockS,22280.82,19654.42,36734.43,20483.78,00:25:55.686
stockT,53067.78,43819.16,58374.58,47305.34,00:26:22.842
stockV,41801.09,40507.40,43466.28,42977.55,00:26:23.901
stockA,60569.88,50867.75,71113.16,66274.07,00:26:47.870
stockX,42282.66,36552.45,46074.53,37890.35,00:26:52.411
stockZ,35332.25,10932.55,36245.93,33724.62,00:26:54.216
stockT,22582.90,19560.15,41387.57,20390.03,00:27:11.251
stockO,39334.33,31910.71,61466.87,46760.47,00:27:15.356
stockO,36394.31,31405.92,37819.10,33496.37,00:27:17.048
stockX,26692.08,23535.62,30424.12,29712.41,00:27:27.728
stockA,44873.59,39081.26,47709.91,45522.29,00:27:30.221
stockL,40711.94,24222.99,49470.43,43830.95,00:27:35.948
stockI,43372.92,38995.75,44370.37,42829.94,00:27:36.315
stockN,44935.32,38423.35,47305.25,39278.97,00:27:37.911
stockZ,63982.26,38442.60,64916.14,46441.45,00:27:40.173
stockP,39398.43,30019.56,48175.38,39388.56,00:27:41.819
stockC,35214.06,22645.27,46598.78,22807.72,00:27:42.613
stockN,39254.19,38043.13,41873.65,40502.12,00:27:44.634
stockH,46633.56,37517.10,47042.76,40290.08,00:27:56.389
stockI,41144.57,20000.77,42971.17,26381.80,00:27:57.118
stockR,37438.29,24711.04,38982.49,25909.21,00:28:06.068
stockN,37476.32,30525.47,40005.79,37223.53,00:28:11.811
stockL,44091.64,42777.91,45578.07,44361.19,00:28:16.271
stockG,35903.20,34540.72,39440.98,36307.41,00:28:30.852
stockO,20293.27,18548.84,24119.88,23368.13,00:28:53.739
stockT,29250.34,25742.24,46526.47,35644.02,00:28:57.102
stockQ,54954.19,34940.81,58561.38,53604.96,00:29:00.386
stockF,44316.73,22922.55,46207.88,30771.68,00:29:05.680
stockI,44417.23,40805.82,51102.42,42989.83,00:29:10.160
stockO,47359.16,39757.90,50044.41,46710.71,00:29:10.225
stockD,33168.76,31863.57,36171.46,34806.96,00:29:38.184
stockX,44805.09,41065.18,47546.20,44299.22,00:29:45.054
stockD,41348.42,41319.46,43319.81,43125.49,00:29:58.284
stockM,39599.10,39384.57,45415.19,39850.67,00:30:00.785
stockY,24658.89,24393.33,36022.70,33447.04,00:30:01.763
stockM,39999.13,39585.35,40391.44,40221.80,00:30:06.571
stockB,26142.45,20946.28,27105.24,24327.31,00:30:10.526
stockD,44230.80,40678.42,49377.75,44802.91,00:30:22.966
stockG,40948.51,37611.96,51698.25,46022.38,00:30:23.753
stockX,40489.58,39901.56,43656.03,42809.59,00:30:33.106
stockG,37090.53,35931.21,38219.49,36958.65,00:30:34.811
stockO,47021.80,33643.50,50591.58,46043.53,00:31:20.539
stockY,49941.76,28119.34,55229.86,50660.85,00:31:29.094
stockG,33039.73,23046.86,40956.38,32766.14,00:31:29.609
stockJ,40927.34,28374.19,56733.60,30522.57,00:31:37.889
stockR,34465.23,20234.13,42682.09,23020.05,00:31:47.918
stockX,45075.59,25534.94,47605.77,29164.06,00:31:54.211
stockB,34125.48,31038.33,61080.16,61056.30,00:31:56.297
stockO,46535.33,27645.90,46745.78,39357.74,00:32:02.543
stockZ,34524.52,34257.50,35179.50,34900.51,00:32:10.340
stockK,38369.50,26608.51,56427.83,35822.91,00:32:13.404
stockM,29555.83,22165.70,31607.64,27697.49,00:32:15.665
stockV,55471.13,39939.51,63452.58,51022.87,00:32:25.174
stockB,41805.96,34540.96,43705.94,40158.27,00:32:41.338
stockG,58076.12,31172.07,59672.05,47672.96,00:32:46.152
stockK,40093.80,36382.12,40879.25,38362.61,00:32:46.869
stockC,28770.90,26747.34,36648.58,35475.65,00:33:01.109
stockO,22613.57,18422.12,35788.69,20240.53,00:33:06.246
stockC,25336.34,23681.82,40700.48,24229.61,00:33:07.222
stockI,50470.71,47426.40,51172.02,49845.24,00:33:26.588
stockJ,44040.46,43565.90,47167.02,43842.94,00:33:37.196
stockD,48393.84,47634.02,49884.26,48341.99,00:33:40.423
stockS,38163.26,34062.81,39390.56,37009.31,00:34:18.150
stockE,38890.17,27644.22,48848.64,46337.41,00:34:26.074
stockO,42437.14,23238.76,45603.50,26348.28,00:34:30.092
stockN,37481.06,37362.08,50192.93,40860.98,00:34:48.436
stockT,39978.06,35769.66,44612.61,44526.75,00:34:51.487
stockU,40632.12,19504.62,46910.62,44785.68,00:34:55.446
stockN,43750.46,30744.75,53880.73,45133.00,00:35:06.846
stockL,37072.95,30790.22,43795.71,32363.12,00:35:08.288
stockG,35045.28,28329.23,41172.63,39907.55,00:35:18.007
stockD,42752.49,16216.02,47698.41,33343.09,00:35:54.368
stockV,43794.79,43704.59,48470.47,45236.75,00:36:10.376
stockI,60059.20,30812.03,61215.04,59257.91,00:36:30.165
stockZ,61389.00,45283.68,62017.06,46447.06,00:36:38.068
stockD,42791.52,42494.83,43359.05,42759.77,00:37:00.829
stockH,35860.40,35420.87,36157.77,35475.07,00:37:05.126
stockY,22519.97,18460.67,39631.41,39115.96,00:37:05.435
stockN,52398.39,44655.59,53234.12,51703.97,00:37:19.865
stockM,16179.83,14498.65,32288.98,24598.43,00:37:25.240
stockB,37322.90,35584.18,39910.38,39568.98,00:37:33.230
stockF,39335.18,28503.39,41523.30,32170.06,00:37:42.982
stockQ,30814.66,28468.08,34382.77,29423.70,00:37:56.225
stockK,42805.23,37297.41,52455.94,42790.51,00:37:57.037
stockE,37236.32,23425.17,39527.32,33946.87,00:38:06.902
stockU,58281.60,33101.23,60077.58,40632.15,00:38:12.414
stockY,31324.53,25904.11,37530.03,28693.79,00:38:14.650
stockG,31384.97,30027.14,31398.62,30616.23,00:38:17.864
stockO,50125.23,49137.32,54201.62,49897.63,00:38:22.047
stockB,27101.12,25105.39,45200.55,27988.28,00:38:33.463
stockW,23039.15,15667.34,35235.36,34047.47,00:38:42.777
stockO,39182.32,28274.43,40430.10,38481.54,00:38:51.753
stockL,29548.30,26851.93,35035.67,29935.65,00:38:52.556
stockF,35654.90,24752.10,51231.75,28219.99,00:38:52.872
stockQ,36068.76,17628.58,43058.80,20205.61,00:38:55.873
stockE,33836.36,29610.84,34468.04,34125.72,00:39:00.454
stockE,44549.31,14348.23,45686.28,15549.91,00:39:17.504
stockY,33747.04,30056.28,35812.16,31390.67,00:39:22.846
stockB,10154.51,9918.34,28265.96,11705.21,00:39:23.970
stockT,53265.87,26635.68,58734.50,47546.24,00:39:45.687
stockH,42860.77,42354.43,70304.77,63422.41,00:40:06.057
stockN,40812.39,19196.85,49515.01,40457.83,00:40:13.813
stockT,36897.09,29120.35,37361.51,30776.13,00:40:15.854
stockD,60439.31,27977.04,60635.32,32222.68,00:40:16.453
stockI,42062.23,41945.65,42298.65,42141.11,00:40:32.120
stockJ,31724.22,30972.05,32940.86,32779.24,00:40:52.630
stockB,19943.92,18796.58,20301.04,19643.30,00:40:57.351
stockX,55531.12,34225.86,56575.37,53635.22,00:41:11.236
stockR,36755.69,17486.90,49771.15,38835.81,00:41:16.711
stockD,23419.70,11798.94,46075.25,37276.24,00:41:18.837
stockA,45574.70,44160.64,46611.97,46607.30,00:41:22.649
stockT,36435.28,30722.37,42225.73,37922.69,00:41:37.156
stockA,60749.69,49608.61,67107.66,56195.72,00:41:40.832
stockS,45716.46,44232.53,46499.58,45280.09,00:42:10.532
stockE,20888.06,20276.75,32086.85,26369.68,00:42:39.513
stockL,31974.53,27932.95,39148.46,33500.55,00:42:46.513
stockT,33921.01,6271.30,41772.89,8913.83,00:42:46.684
stockJ,40156.03,34193.24,42038.26,40546.54,00:42:57.353
stockF,16339.82,16187.77,53713.65,18693.41,00:43:07.264
stockY,32082.04,29928.64,34269.28,33650.56,00:43:22.440
stockJ,37856.26,30538.37,53807.09,32665.66,00:43:25.603
stockS,45453.38,26449.57,48559.84,46913.91,00:43:26.723
stockQ,28811.92,25805.45,36915.01,31655.71,00:43:53.710
stockK,37089.05,36357.66,43158.31,40478.81,00:44:07.288
stockH,14746.37,13275.92,22010.43,21131.48,00:44:07.414
stockW,40671.12,37231.70,43950.27,38692.61,00:44:26.612
stockW,23802.98,22534.14,24983.24,24977.28,00:44:29.834
stockK,42378.22,39695.34,46484.23,40519.01,00:44:32.982
stockB,34267.60,26450.22,41646.47,32156.88,00:44:43.025
stockP,36042.59,32544.63,39216.73,35721.48,00:44:43.916
stockW,35183.29,28473.51,37513.02,28611.58,00:44:44.950
stockW,44035.59,30784.46,60606.48,36340.19,00:44:47.808
stockO,41246.35,28556.41,41775.80,32387.31,00:44:54.945
stockI,20332.11,20092.05,25328.30,21641.06,00:45:01.097
stockO,36808.98,31447.07,49201.77,40677.23,00:45:05.695
stockK,32858.33,31311.23,39225.76,37900.10,00:45:10.923
stockN,29728.04,24007.94,31139.46,29736.60,00:45:21.457
stockY,44174.66,41822.82,46139.62,42079.76,00:45:29.619
stockK,35562.59,17359.45,48773.17,34322.30,00:45:35.179
stockY,40590.80,14581.60,42693.37,26412.02,00:45:54.755
stockT,32411.97,26187.33,32548.76,30888.73,00:45:57.129
stockS,33083.43,25125.56,43152.98,26833.06,00:46:00.631
stockN,43709.91,41508.62,49519.20,46551.99,00:46:41.414
stockJ,18593.62,15222.07,29972.55,15484.54,00:46:47.615
stockO,55084.32,36099.63,60601.02,39090.88,00:46:57.227
stockK,32254.51,31906.19,38089.79,32469.62,00:47:18.104
stockI,26315.88,10642.51,41389.54,17277.41,00:47:37.397
stockQ,39196.68,33359.59,41430.59,39691.36,00:48:14.971
stockQ,40547.82,40055.48,43762.46,43538.44,00:48:15.221
stockE,18843.42,18516.79,45574.29,25934.73,00:48:35.092
stockC,38533.89,28187.39,39121.44,37807.76,00:48:35.348
stockT,34710.63,23025.29,40357.88,29016.09,00:48:37.630
stockO,31634.82,27288.01,37381.59,27730.20,00:48:46.072
stockW,36973.12,36065.08,44145.56,38901.76,00:48:55.443
stockJ,33233.98,32859.35,34172.23,32965.02,00:49:01.702
stockR,34250.73,23935.68,43745.13,25308.59,00:49:04.798
stockV,58225.71,53189.66,70814.28,57390.54,00:49:13.344
stockE,37967.36,35209.50,41261.35,36576.81,00:49:19.343
stockH,34017.77,33900.80,38299.11,36837.96,00:49:20.008
stockP,42647.04,42125.81,43400.04,42959.31,00:49:31.872
stockH,57910.69,42561.72,58292.54,45553.48,00:49:33.254
stockJ,48031.03,42195.65,52808.85,43489.72,00:49:43.435
stockF,45023.12,34369.76,45066.38,42356.40,00:49:45.875
stockA,45129.43,25228.07,45445.30,30862.32,00:49:46.596
stockY,26044.89,25988.33,34450.69,26124.02,00:49:47.818
stockF,42584.35,41807.79,42701.25,41992.43,00:49:51.388
stockZ,36714.97,35604.30,42062.70,37674.40,00:49:55.352
stockU,51770.90,37743.03,62965.79,41187.33,00:49:57.802
stockO,43514.71,28213.41,52270.80,43266.43,00:50:05.750
stockV,37926.03,28951.93,50963.24,35686.02,00:50:21.441
stockF,49838.07,45545.66,54328.97,47378.70,00:50:33.331
stockX,38068.51,38041.31,38124.51,38064.33,00:50:39.989
stockZ,41793.77,40547.33,43147.51,41587.43,00:50:45.890
stockP,26607.84,25030.24,31721.34,28391.68,00:50:52.261
stockR,43380.24,43222.10,43581.04,43420.77,00:50:56.360
stockO,50284.80,48745.88,51786.41,51425.25,00:51:08.483
stockO,28143.68,24796.19,36654.18,34292.49,00:51:16.586
stockE,54037.75,41173.98,56635.18,46295.89,00:51:19.050
stockN,36487.61,35095.06,41391.46,40537.68,00:51:28.217
stockU,41457.63,39694.54,45819.79,44204.85,00:51:46.087
stockZ,73938.69,49787.46,80984.85,75062.90,00:51:54.027
stockV,44078.09,20637.95,46876.62,29361.37,00:52:02.966
stockV,40116.79,38528.22,53564.05,48147.13,00:52:03.789
stockO,40216.69,39761.92,50917.10,49873.13,00:52:05.842
stockV,46685.34,39877.69,46801.56,45071.17,00:52:07.676
stockT,42529.35,41732.74,45429.62,42779.48,00:52:22.830
stockC,10137.82,3238.53,35629.21,18622.74,00:52:23.807
stockW,42633.41,38617.55,46439.01,43936.91,00:52:24.492
stockR,48113.03,21462.23,48646.26,25731.96,00:52:30.251
stockL,55274.92,41694.86,55974.48,47056.54,00:52:33.380
stockV,42021.08,41051.00,58114.29,41616.82,00:52:36.025
stockR,32388.73,11461.50,32900.68,29736.67,00:52:42.674
stockZ,50420.06,38993.11,55437.63,54663.42,00:52:45.891
stockP,52019.16,46317.37,54485.09,52304.91,00:52:46.828
stockZ,63472.01,52356.29,64582.97,61998.67,00:53:13.036
stockP,22667.76,13639.52,26704.94,23845.19,00:53:16.061
stockJ,32754.30,32099.11,33677.90,33491.07,00:53:19.515
stockD,21566.60,19434.17,50650.80,34888.70,00:53:33.699
stockS,38133.34,29504.69,41069.38,30308.62,00:53:34.797
stockU,22267.59,16594.01,31789.50,29469.12,00:53:34.967
stockC,30721.58,23391.14,48446.17,39025.01,00:53:43.393
stockX,47160.23,46722.03,48521.43,47818.81,00:53:45.344
stockE,38183.32,26178.66,54527.09,46415.39,00:53:47.051
stockJ,40354.26,39343.55,42147.52,39755.40,00:54:03.933
stockX,51281.23,51273.47,51383.69,51306.56,00:54:17.032
stockI,35001.41,29597.64,46672.56,41260.78,00:54:47.602
stockT,22890.66,18219.99,34582.75,30919.49,00:54:55.588
stockV,27436.93,27143.49,34323.13,33581.82,00:55:02.121
stockF,32336.66,16166.71,68057.32,20451.72,00:55:02.833
stockU,45760.11,18957.91,51119.73,38966.18,00:55:16.616
stockJ,35793.52,35059.15,51135.31,46381.96,00:55:17.947
stockO,47776.38,34872.59,63883.59,61220.11,00:55:18.801
stockL,37946.39,36529.50,38054.50,37618.73,00:55:21.361
stockX,40183.74,35872.45,42616.85,40054.74,00:55:23.288
stockK,24611.52,20980.73,31323.83,21407.82,00:55:25.922
stockW,39733.53,36391.73,42704.86,38111.29,00:55:38.049
stockP,39493.77,37236.98,40096.99,38248.00,00:55:42.107
stockP,46827.20,41794.74,49979.48,46587.24,00:55:44.949
stockL,17921.88,5404.30,24106.42,23528.45,00:55:46.276
stockO,29185.48,22163.08,54565.84,30603.51,00:55:54.935
stockP,36126.10,33658.39,38737.94,36852.13,00:56:15.628
stockW,51557.29,41835.14,51953.02,44630.63,00:56:25.599
stockT,35092.41,34011.85,35620.06,35418.32,00:56:41.494
stockU,24931.49,3404.85,35074.87,29159.14,00:56:42.484
stockE,32811.76,27453.62,45607.95,30975.57,00:56:43.717
stockR,41654.30,38075.26,47487.36,43567.16,00:57:06.329
stockW,41306.76,38838.82,42266.18,40139.48,00:57:21.049
stockG,17312.68,10298.57,40935.14,30265.15,00:57:33.914
stockT,48032.84,47773.95,48289.06,47895.50,00:57:34.530
stockP,43610.73,40749.60,48762.38,45876.56,00:57:45.492
stockF,43700.42,41746.42,49383.48,46046.31,00:57:47.384
stockS,44379.32,24280.52,47994.73,41029.48,00:57:50.007
stockQ,36125.07,35222.26,46208.96,45139.21,00:57:52.371
stockI,36719.29,35559.74,37830.31,37513.56,00:58:02.815
stockA,50989.96,29526.22,53293.93,40459.33,00:58:15.474
stockU,41553.89,40310.26,41640.19,40354.40,00:58:40.797
stockF,46500.95,28909.45,51049.84,49627.57,00:58:43.890
stockN,28418.33,27443.67,31108.40,29723.02,00:58:56.504
stockB,39088.68,34000.75,41816.89,36403.77,00:59:00.749
stockC,58318.01,49820.40,61753.68,50582.76,00:59:06.105
stockP,49554.66,36105.99,51898.93,38086.70,00:59:30.612
stockI,41926.52,37180.43,48929.59,45506.92,00:59:30.691
stockS,32451.30,27696.75,47960.74,33026.66,00:59:40.295
stockM,42845.25,35879.39,52235.15,41686.16,00:59:43.256
stockM,35378.82,31246.36,37625.85,34760.58,01:00:02.450
stockG,40452.80,33265.14,42399.70,35108.12,01:00:09.867
stockZ,35340.85,32101.84,46309.01,42296.98,01:00:12.699
stockH,42331.26,38734.20,42824.42,41717.89,01:00:27.826
stockS,43075.09,38151.34,60516.10,56170.70,01:00:31.168
stockB,21941.24,19129.06,52025.45,35662.71,01:00:31.697
stockV,39677.05,39195.81,44504.98,43439.43,01:00:43.890
stockM,32227.21,28551.58,50738.04,30054.87,01:00:48.194
stockQ,23747.98,17289.51,35055.67,25359.55,01:00:50.442
